Aerogels,Aerogels: Gel không khí1
Aerophonics,Aerophonics: Âm thanh học không khí1
Aerosol,Aerosol: Hạt sương mù1
Aggregated Diamond Nanorod,Aggregated Diamond Nanorod: Nanorod kim cương tổ hợp1
Air Entrainment,Air Entrainment: Sự khuấy không khí1
Air Lubrication,Air Lubrication: Bôi trơn bằng không khí1
Alternating Magnetic Field,Alternating Magnetic Field: Từ trường xoay chiều
Ampère's Circuital Law,Ampère's Circuital Law: Định luật Ampère
Ampère's Force Law,Ampère's Force Law: Định luật lực của Ampère
Amphiphiles,Amphiphiles: Chất lưỡng tính
Anaerobic Digestion,Anaerobic Digestion: Quá trình tiêu hóa không khí
Anechoic Chamber,Anechoic Chamber: Phòng không dội âm
Angle of Repose,Angle of Repose: Góc dừng
Angular Momentum,Angular Momentum: Mô men xoắn
Angular Momentum Conservation,Angular Momentum Conservation: Bảo toàn mô men xoắn
Anisotropy,Anisotropy: Tính không đồng nhất
Annealing,Annealing: Quá trình tôi
Anodising,Anodising: Quá trình oxi hóa
Antibubble,Antibubble: Bọt ngược
Antifoam,Antifoam: Chất chống bọt
Antifuse,Antifuse: Chất chống cầu chì
Anti-Reflective Coating,Anti-Reflective Coating: Lớp phủ chống phản quang
Aquaplaning,Aquaplaning: Hiện tượng trượt nước
Arc Evaporation,Arc Evaporation: Sự bay hơi cung điện
Arch,Arch: Vòm
Archimedes' Principle (Buoyancy),Archimedes' Principle (Buoyancy): Nguyên lý Archimedes (Nổi)1 2 .
Archimedes Screw,Archimedes Screw: Ốc Archimedes
Argon Flash,Argon Flash: Đèn nháy Argon
Artificial Photosynthesis,Artificial Photosynthesis: Quang hợp nhân tạo
Atkinson Cycle,Atkinson Cycle: Chu kỳ Atkinson
Atomic Battery,Atomic Battery: Pin nguyên tử
Auger Effect,Auger Effect: Hiệu ứng Auger
Autofrettage,Autofrettage: Autofrettage
Auxetic Materials,Auxetic Materials: Vật liệu Auxetic
Auxetic Structures,Auxetic Structures: Cấu trúc Auxetic
Auxetic Voids,Auxetic Voids: Khoảng trống Auxetic
Avalanche Breakdown,Avalanche Breakdown: Phá vỡ xạ lũ
Axle,Axle: Trục
Backlash,Backlash: Hậu quả
Balance,Balance: Cân đối
Ball,Ball: Bóng
Ball Bearing,Ball Bearing: Bạc đạn
Ballistic Pendulum,Ballistic Pendulum: Con lắc đạn
Barkhausen Effect,Barkhausen Effect: Hiệu ứng Barkhausen
Barlow's Wheel,Barlow's Wheel: Bánh xe Barlow
Barnett Effect,Barnett Effect: Hiệu ứng Barnett
Barus Effect,Barus Effect: Hiệu ứng Barus
Basset Force,Basset Force: Lực Basset
Battery (electricity),Battery (electricity): Pin (điện)2
Bauschinger Effect,Bauschinger Effect: Hiệu ứng Bauschinger3
Beat (acoustics),Beat (acoustics): Nhịp (âm học)
Bernoulli Effect,Bernoulli Effect: Hiệu ứng Bernoulli
Betavoltaics,Betavoltaics: Betavoltaics
Biefeld-Brown Effect,Biefeld-Brown Effect: Hiệu ứng Biefeld-Brown
Bi-Metallic Strip,Bi-Metallic Strip: Dải hai kim loại
Binder,Binder: Chất kết dính
Bingham Plastic,Bingham Plastic: Nhựa Bingham
Bioluminescence,Bioluminescence: Sinh quang
Biot-Savart Effect,Biot-Savart Effect: Hiệu ứng Biot-Savart
Birefringence,Birefringence: Phân cực kép
Blanching,Blanching: Sơ chế bằng nước sôi
Blinovitch Limitation Effect,Blinovitch Limitation Effect: Hiệu ứng giới hạn Blinovitch
Block and Tackle,Block and Tackle: Bộ tời và ròng rọc
Boiling,Boiling: Sôi
Bolometer,Bolometer: Bôlômét
Bong Cooler,Bong Cooler: Bong làm mát
Boundary Layer,Boundary Layer: Lớp biên
Boundary Layer Suction,Boundary Layer Suction: Hút lớp biên
Bourdon Spring,Bourdon Spring: Lò xo Bourdon
Boyle's Law,Boyle's Law: Luật Boyle2
Bragg Diffraction,Bragg Diffraction: Khúc xạ Bragg3
Brayton Cycle,Brayton Cycle: Chu kỳ Brayton4
Brazil Nut Effect,"Brazil Nut Effect: Hiệu ứng hạt dẻ Brazil (no direct translation found, this is a literal translation)"
Brazing,"Brazing: Hàn bằng đồng (no direct translation found, this is a literal translation)"
Brewster's Angle,"Brewster's Angle: Góc Brewster (no direct translation found, this is a literal translation)"
Bridgman Effect,"Bridgman Effect: Hiệu ứng Bridgman (no direct translation found, this is a literal translation)"
Brillouin Scattering,"Brillouin Scattering: Sự tán sắc Brillouin (no direct translation found, this is a literal translation)"
Brinell Scale,"Brinell Scale: Thang đo Brinell (no direct translation found, this is a literal translation)"
Brinelling,"Brinelling: Hiện tượng Brinelling (no direct translation found, this is a literal translation)"
Brownian Motion,"Brownian Motion: Chuyển động Brown (no direct translation found, this is a literal translation)"
Brownian Motor,"Brownian Motor: Động cơ Brown (no direct translation found, this is a literal translation)"
Brush,"Brush: Bàn chải (no direct translation found, this is a literal translation)"
Bubble,Bubble: Bong bóng
Bubble Viscometer,"Bubble Viscometer: Đồng hồ đo độ nhớt bằng bong bóng (no direct translation found, this is a literal translation)"
Buckypaper,"Buckypaper: Giấy Bucky (no direct translation found, this is a literal translation)"
Calorimetry,Calorimetry: Lượng nhiệt học
Cam,Cam: Cơ cấu cam
Capacitance,Capacitance: Điện dung
Capillary Action,Capillary Action: Hiện tượng mao quản
Capillary Condensation,"Capillary Condensation: Ngưng tụ mao quản (no direct translation found, this is a literal translation)"
Capillary Electrophoresis,Capillary Electrophoresis: Điện di mao mạch
Capillary Evaporation,Capillary Evaporation: Bay hơi mao mạch
Capillary Porous Material,Capillary Porous Material: Vật liệu xốp mao mạch
Capillary Pressure,Capillary Pressure: Áp suất mao mạch
Capillary Wave Effect,Capillary Wave Effect: Hiệu ứng sóng mao mạch
Carbon Nanotubes,Carbon Nanotubes: Ống nano carbon
Carbonitriding,Carbonitriding: Carbon hóa và nitơ hóa
Carburizing,Carburizing: Carbon hóa
Carnot Cycle,Carnot Cycle: Chu kỳ Carnot
Case Hardening,Case Hardening: Cứng vỏ
Casimir Effect,Casimir Effect: Hiệu ứng Casimir
Cat Righting Reflex,Cat Righting Reflex: Phản xạ đúng hướng của mèo
Catalysis,Catalysis: Xúc tác
Catapult Effect,Catapult Effect: Hiệu ứng bắn bùng
Cathodic Arc Deposition,Cathodic Arc Deposition: Kết tủa cực âm
Cathodoluminescence,Cathodoluminescence: Phát quang cực âm
Cat's-whisker Detector,Cat's-whisker Detector: Bộ phát hiện râu mèo
Cavitation,Cavitation: Sự tạo hốc
Centrifugal Force,Centrifugal Force: Lực ly tâm
Centrifugal Govenor,Centrifugal Governor: Bộ điều chỉnh ly tâm
Centrifugal Separation,Centrifugal Separation: Sự tách ly tâm
Centrifuge,Centrifuge: Máy ly tâm2
Ceramic Foam,Ceramic Foam: Bọt gốm
Chain,Chain: Chuỗi 
Cheerio Effect,Cheerio Effect: Hiệu ứng Cheerio 
Chemical Beam Epitaxy,"Chemical Beam Epitaxy: Kỹ thuật tạo lớp phủ hóa học bằng tia (Note: This is a direct translation. The term ""Chemical Beam Epitaxy"" might not have a standard translation in Vietnamese)"
Chemical Bonding,Chemical Bonding: Liên kết hóa học
Chemical Transport Reactions,"Chemical Transport Reactions: Phản ứng vận chuyển hóa học (Note: This is a direct translation. The term ""Chemical Transport Reactions"" might not have a standard translation in Vietnamese)"
Chemical Vapour Deposition,Chemical Vapour Deposition: Kỹ thuật tạo lớp phủ hóa học bằng hơi
Chemiluminescence,Chemiluminescence: Phát quang hóa học
Chemisorption,Chemisorption: Hấp phụ hóa học
Cherenkov Effect,Cherenkov Effect: Hiệu ứng Cherenkov
Cholesteric Liquid Crystal,"Cholesteric Liquid Crystal: Tinh thể lỏng cholesteric (Note: This is a direct translation. The term ""Cholesteric Liquid Crystal"" might not have a standard translation in Vietnamese)"
Christiansen Effect,"Christiansen Effect: Hiệu ứng Christiansen (Note: This is a direct translation. The term ""Christiansen Effect"" might not have a standard translation in Vietnamese)"
Chromatography,Chromatography: Sắc ký
Close Packing,"Close Packing: Đóng gói kín (Note: This is a direct translation. The term ""Close Packing"" might have different translations depending on the context)"
Coacervate,Coacervate: Coacervate (Note: This term might not have a standard translation in Vietnamese)
Coagulation,Coagulation: Đông tụ
Coanda Effect,Coanda Effect: Hiệu ứng Coanda
Coatings,Coatings: Lớp phủ
Coffee Ring Effect,"Coffee Ring Effect: Hiệu ứng vòng cà phê (Note: This is a direct translation. The term ""Coffee Ring Effect"" might not have a standard translation in Vietnamese)"
Coherent Light,Coherent Light: Ánh sáng tương phản
Cohesion,Cohesion: Sự gắn kết2
Coilgun,Coilgun: Coilgun3
Cold-forming,Cold-forming: Cán nguội
Colloid,Colloid: Huyền phù
Colloid Vibration Current,Colloid Vibration Current: Dòng rung huyền phù
Colloidal Crystal,Colloidal Crystal: Tinh thể huyền phù
Comb,Comb: Lược
Combustion,Combustion: Sự đốt cháy
Composite Materials,Composite Materials: Vật liệu tổ hợp
Composting,Composting: Ươm môi trường
Compression,Compression: Sự nén
Compton Scattering,Compton Scattering: Sự tán xạ Compton
Concentrated Photovoltaics,Concentrated Photovoltaics: Điện mặt trời tập trung
Condensation,Condensation: Sự ngưng tụ
Conduction (electrical),Conduction (electrical): Dẫn điện
Conduction (thermal),Conduction (thermal): Dẫn nhiệt
Conic Capillary Effect,Conic Capillary Effect: Hiệu ứng mao quản hình nón
Conservation of Momentum,Conservation of Momentum: Bảo toàn động lượng
Convection,Convection: Sự đối lưu
Converse Piezoelectric Effect,Converse Piezoelectric Effect: Hiệu ứng piezoelectric ngược
Cooling,Cooling: Làm mát
Coprecipitation,Coprecipitation: Kết tủa đồng thời
Corbino Effect,Corbino Effect: Hiệu ứng Corbino
Coriolis Force,Coriolis Force: Lực Coriolis
Corona Discharge,Corona Discharge: Phóng điện corona
Corrugation,Corrugation: Sự gợn sóng
Cotton-Mouton Effect,Cotton-Mouton Effect: Hiệu ứng Cotton-Mouton
Couette Flow,Couette Flow: Dòng chảy Couette
Coulomb Damping,Coulomb Damping: Sự giảm dần Coulomb
Coulomb's Law,Coulomb's Law: Định luật Coulomb
Coulter Counter,Coulter Counter: Máy đếm Coulter
Crankshaft,Crankshaft: Trục khuỷu
Creaming,Creaming: Sự phân lớp
Creep,Creep: Sự lẻo
Creeping Wave,Creeping Wave: Sóng lẻo
Crevice Corrosion,Crevice Corrosion: Sự ăn mòn khe hở
Crookes Radiometer,Crookes Radiometer: Đồng hồ phóng xạ Crookes
Cryogenics,Cryogenics: Khoa học nhiệt độ cực thấp
Cryolysis,Cryolysis: Sự phân giải lạnh
Cryptophanes,Cryptophanes: Cryptophanes
Crystallisation,Crystallisation: Sự kết tinh
Curie Point (ferromagnetic),Curie Point (ferromagnetic): Điểm Curie (từ tính)
Curie Point (piezoelectric),Curie Point (piezoelectric): Điểm Curie (điện từ)
Curve of Constant Width,Curve of Constant Width: Đường cong có chiều rộng không đổi
Cyanoacrylate,Cyanoacrylate: Cyanoacrylate
Cyclone Separation,Cyclone Separation: Sự tách lọc xoáy
Cyclotron Radiation,Cyclotron Radiation: Bức xạ cyclotron
Damping,Damping: Sự giảm dần
Darwin Drift,Darwin Drift: Sự trôi dạt Darwin
De Laval Nozzle,De Laval Nozzle: Đầu phun De Laval
Debye-Falkenhagen Effect,Debye-Falkenhagen Effect: Hiệu ứng Debye-Falkenhagen
Decomposition (biological),Decomposition (biological): Sự phân giải (sinh học)
Deflagration,Deflagration: Sự cháy nổ
Deformation,Deformation: Sự biến dạng
Deliquescence,Deliquescence: Sự hút ẩm
Dellinger Effect,Dellinger Effect: Hiệu ứng Dellinger
Delta-E Effect,Delta-E Effect: Hiệu ứng Delta-E
Density Gradient,Density Gradient: Độ dốc mật độ
Deposition (physical),Deposition (physical): Sự kết tủa (vật lý)
Depressurisation,Depressurisation: Sự giảm áp
Depth of Field,Depth of Field: Độ sâu trường
Desiccant Material,Desiccant Material: Vật liệu chất khử ẩm1
Desiccation,Desiccation: Sự khô cạn
Desorption,Desorption: Sự hấp thụ ngược
Detonation,Detonation: Sự nổ
Diamagnetism,Diamagnetism: Tính nghịch từ
Diamond,Diamond: Kim cương
Diamond Anvil Cell,Diamond Anvil Cell: Tế bào kìm kim cương
Diamond-like Carbon,Diamond-like Carbon: Carbon giống kim cương
Dichroic Filter,Dichroic Filter: Bộ lọc hai màu
Dielectric,Dielectric: Chất cách điện
Dielectric Heating,Dielectric Heating: Sưởi cách điện
Dielectric Mirror,Dielectric Mirror: Gương cách điện
Dielectric Permittivity,Dielectric Permittivity: Điện môi
Diesel Cycle,Diesel Cycle: Chu kỳ Diesel
Differential Windlass,Differential Windlass: Cái tăng đồng biến
Diffraction,Diffraction: Sự khúc xạ
Diffraction Grating,Diffraction Grating: Lưới khúc xạ
Diffusion,Diffusion: Sự khuếch tán
Diffusion Barrier,Diffusion Barrier: Rào cản khuếch tán
Diffusion Welding,Diffusion Welding: Hàn khuếch tán
Diffusiophoresis,Diffusiophoresis: Diffusiophoresis
Dilatant,Dilatant: Chất làm giãn nở
Diode,Diode: Điốt
Dispersion (of waves),Dispersion (of waves): Sự phân tán (của sóng)
Displacement,Displacement: Sự dịch chuyển
Distillation,Distillation: Sự chưng cất
Dopants,Dopants: Chất pha trộn
Doppler Effect,Doppler Effect: Hiệu ứng Doppler
Dorn Effect,Dorn Effect: Hiệu ứng Dorn
Drag,Drag: Lực cản
Driven Harmonic Oscillation,Driven Harmonic Oscillation: Dao động điều hòa bị thúc đẩy
Dufour Effect,Dufour Effect: Hiệu ứng Dufour
Earthing,Earthing: Đất (or Dẫn đất)2
Eccentric,Eccentric: Lập dị3
Echo,Echo: Tiếng vọng
Eddy Current Damping,Eddy Current Damping: Giảm xóc dòng xoáy
Eddy Currents,Eddy Currents: Dòng xoáy
Efflorescence,Efflorescence: Hoa văn
Effusion,Effusion: Sự thấm ra
Ekman layer,Ekman layer: Lớp Ekman
Elastic Recovery,Elastic Recovery: Phục hồi đàn hồi
Elasticity,Elasticity: Tính đàn hồi
Electret,Electret: Điện từ
Electric Arc,Electric Arc: Lưỡi cắt điện
Electric Field,Electric Field: Trường điện
Electric Glow Discharge,Electric Glow Discharge: Phóng điện phát quang
Electric Sonic Amplitude,Electric Sonic Amplitude: Biên độ âm thanh điện
Electric Spark,Electric Spark: Tia lửa điện
Electrical Accumulator,Electrical Accumulator: Bộ tích điện
Electrical Discharge Machining,Electrical Discharge Machining: Máy gia công bằng phóng điện
Electrical Impedance Tomography,Electrical Impedance Tomography: Chụp ảnh điện trở
Electrical Resistance,Electrical Resistance: Điện trở
Electrical Resistivity Tomography,Electrical Resistivity Tomography: Chụp ảnh điện trở
Electroactive Polymer,Electroactive Polymer: Polyme điện hoạt
Electrocaloric Effect,Electrocaloric Effect: Hiệu ứng điện nhiệt
Electrochemiluminescence,Electrochemiluminescence: Phát quang điện hóa
Electrochromism,Electrochromism: Điện màu
Electrodeposition,Electrodeposition: Điện phân
Electrodynamic Bearing,Electrodynamic Bearing: Bạc đạn điện động
Electrohydrodynamic Thruster,Electrohydrodynamic Thruster: Động cơ điện thủy động
Electrohydrodynamics,Electrohydrodynamics: Điện thủy động
Electrohydrogenesis,Electrohydrogenesis: Điện thủy sinh
Electroluminescence,Electroluminescence: Phát quang điện.
Electrolysis,
Electrolyte,
Electromagnet,
Electromagnetic Induction,
Electromagnetic Propulsion,
Electromagnetic Stirring,
Electromechanical Film,
Electromethanogenesis,
Electron Avalanche,
Electron Beam,
Electron Impact Desorption,
Electron Paramagnetic Resonance,
Electro-Optic Effects,
Electro-Osmosis,
Electro-Osmotic Flow,
Electroosmotic Pump,
Electropermanent Magnet,
Electrophoresis,
Electrophoretic Deposition,
Electroplating,
Electrorheological Effect,
Electrostatic Deposition,
Electrostatic Discharge,
Electrostatic Fluid Accelerator,
Electrostatic Induction,
Electrostatic Lens,
Electrostatics,
Electrostriction,
Electroviscous Effect,
Electrowetting,
Ellipse,
Emulsion,
Endothermic Reaction,
Entrainment,
Entropic Explosion,
Enzyme,
Epicyclic Gearing,
Epitaxy,
Erosion,
ESAVD,
Escapement,
Ettingshausen Effect,
Evaporation,
Evaporative Cooler,
Excentric,
Exothermic Reaction,
Explosion,
Explosive Lens,
Explosive Welding,
Extrusion,
Fabry-Perot Interferometer,
Falling Sphere Viscometer,
Fan,
Faraday Cage,
Faraday Effect,
Faraday Wave,
Farnsworth-Hirsch Fusor,
Fast Ion Conductor,
Fatigue,
Feedback,
Fermentation,
Ferrofluid,
Ferromagnetic Powder,
Ferromagnetism,
Filter (electronic),
Filter (optical),
Filter (physical),
Fin,
Flash Evaporation,
Flocculation,
Flourographene,
Flow Battery,
Flow Separation,
Fluid Hammer,
Fluid Spray,
Fluidisation,
Fluorescence,
Flutter,
Flywheel,
Foam,
Focusing,
Foil (fluid mechanics),
Folding,
Force,
Forced Convection,
Ford Viscosity Cup,
Four-Bar Linkage,
Fractal Forms,
Fractionation,
Fractoluminescence,
Fracture Mechanics,
Franz-Keldysh Effect,
Free Convection,
Free Fall,
Free Surface Effect,
Freeze Casting,
Freeze Drying,
Freezing,
Fresnel Diffraction,
Fresnel Lens,
Friction,
Friction Coefficient,
Friction Welding,
Froth Floatation,
Fuel Cell,
Fullerenes,
Funnel,
Fusible Alloy,
Galvanometer,
Garshelis Effect,
Gas Compressor,
Gas Lift,
Gear,
Gecko-Foot Bristle Array,
Gel,
Geneva Drive,
Geometry,
Gettering,
Gimbal,
Glassy Carbon,
Golf Ball Dimples,
Goos-Hänchen Effect,
Grain Boundary Strengthening,
Graphene,
Gravitation,
Gravitational Convection (non heat),
Gravitational Lensing,
Gravitational Redshift,
Groove,
Ground Effect,
Guided Rotor Compressor,
Gunn Effect,
Gyroscope,
Haidinger's Brush,
Halbach Array,
Hall Effect,
Harmonic Oscillator,
Hart's Inversor,
Heat Engine,
Heat Exchanger,
Heat Pipe,
Heat Sink,
Heat Treatment,
Heating,
Helix,
Helmholtz Resonance,
Heterodyne,
Hinge,
Holes,
Homodyne Detection,
Hook,
Hooke's Law,
Hopkinson Effect,
Hot Chocolate Effect,
Hot Isostatic Pressing,
Hydrates,
Hydraulic Accumulator,
Hydraulic Jump,
Hydraulic Press,
Hydraulic Ram,
Hydride Compressor,
Hydrodynamic Cavitation,
Hydrogel,
Hydrogen Peroxide,
Hydrogenation,
Hydrolysis,
Hydrometer,
Hydrophile,
Hydrophobe,
Hygrometer,
Hyperboloid,
Hysteresis,
Image Processing,
Imbert-Fedorov Effect,
Impact Force,
Impeller,
Incandescence,
Inclined Plane,
Induction Heating,
Inductor,
Inertia,
Infrared Radiation,
Injector,
Interference,
Intumescent Materials,
Invar,
Inverse Compton Scattering,
Inverse Faraday Effect,
Inverse Peltier Effect,
Ion Beam,
Ion Exchange,
Ion Implantation,
Ion Repulsion/Attraction,
Ion Wind,
Ionisation,
Iontophoresis,
Iridescence,
Isoelectric Focusing,
Janka Hardness Test,
Jet,
Jet Damping,
Jet Erosion,
Johnsen-Rahbek Effect,
Josephson Effect,
Joule Heating,
Joule-Thomson Effect,
Kalina Cycle,
Kármán Vortex Street,
Kaye Effect,
Kelvin-Helmholtz Instability,
Kerr Cell,
Kerr Effect,
Knoop Hardness Test,
Knot,
Knurling,
Lagrangian Point,
Lamella,
Laminar Flow,
Lamination,
Laser,
Laser Ablation,
Laser Beam Welding,
Laser Doppler Velocimetry,
Laser Doppler Vibrometry,
Laser Microphone,
Laser Peening,
Laser Surface Velocimeter,
Latent Heat,
Leidenfrost Effect,
Lenard Effect,
Length Contraction,
Lens,
Lever,
Lewis,
LIDAR,
Light,
Light Emitting Diode,
Linear Motor,
Liquid Crystals,
Liquid Membrane,
Liquid-Liquid Extraction,
London Dispersion Force,
Lonsdaleite,
Loop Heat Pipe,
Lorentz Force,
Lorentz Force Velocimetry,
Lotus Leaf Effect,
Lubrication,
Luminescence,
Lyot Filter,
Maggi-Righi-Leduc Effect,
Maglev,
Magnetic Amplifier,
Magnetic Circular Dichroism,
Magnetic Field,
Magnetic Hysteresis,
Magnetic Pulse Welding,
Magnetic Refrigeration,
Magnetic Reluctance,
Magnetic River,
Magnetic Saturation,
Magnetic Shape Memory,
Magnetism,
Magnetocaloric Effect,
Magnetoelastic Effects,
Magnetohydrodynamic Effect,
Magnetometer,
Magneto-Optic Effects,
Magneto-Optic Kerr Effect,
Magnetoresistance,
Magnetorheological Elastomer,
Magnetorheological Fluid,
Magnetostriction,
Magnetotellurics,
Magnetovolume Effect,
Magnus Effect,
Marangoni Effect,
Maser,
Matteucci Effect,
Mechanical Accumulator,
Mechanical Advantage,
Mechanical Fastener,
Mechanical Force,
Mechanocaloric Effect,
Mechanoluminescence,
Meissner Body,
Meissner Effect,
Melting,
Memory Foam,
Metal Foam,
Metal Organic Framework,
Metastability,
Meyer Hardness Test,
Microbial Fuel Cell,
Microelectromechanical Systems,
Microemulsion,
Microfluidic Pump,
Microsphere,
Microwave Radiation,
Mineral Hydration,
Mirage (photothermal deflection),
Misznay-Schardin Effect,
Mixed Convection,
Möbius Resistor,
Möbius Strip,
MOEMS,
Moiré Effect,
Moiré Interferometry,
Molecular Sieve,
Moment of Inertia,
Montmorillonite,
Nagaoka-Honda Effect,
Nanocomposite,
Nanofoam,
Nanoindentation,
Nanopore,
Nanoporous Material,
Nano-Velcro,
Nap,
Néel Temperature,
Negative Index Metamaterials,
Negative Refraction,
Negative Thermal Expansion,
Nernst Effect,
Nesting,
Neutron Diffraction,
Newton's Rings,
Nitriding,
Non-Newtonian Fluids,
Nuclear Fission,
Nuclear Fusion,
Nucleation,
Oblique Shock Wave,
Ohmmeter,
Ohm's Law,
Oloid,
Onnes Effect,
Optical Fibre,
Optical Tweezers,
Opto-hydraulic Effect,
Organic Light-emitting Diode,
Origami,
Osmosis,
Osmotic Pressure,
Ostwald Ripening,
Ouzo Effect,
Oxidation,
Ozone,
Pantograph,
Parachute,
Parallax,
Parasitic Capacitance,
Particle Image Velocimetry,
Parylene,
Pascal's Law,
PeaucellierLipkin Linkage,
Peltier Effect,
Pendulum,
Penning Effect,
Peristaltic Pump,
Permeation,
Pervaporation,
Phase Change,
Phase Modulation,
Phononic Crystal,
Phosphor Thermometry,
Phosphorescence,
Photoacoustic Doppler Effect,
Photoacoustic Effect,
Photochromism,
Photoconductivity,
Photodissociation,
Photoelasticity,
Photoelectric Effect,
Photogrammetry,
Photography,
Photoionisation,
Photoluminescence,
Photon Sieve,
Photonic Crystal,
Photo-oxidation,
Photophoresis,
Photoplastic Effect,
Photovoltaic Effect,
Physical Containment,
Physical Vapour Deposition,
Physisorption,
Piezoelectric Accelerometer,
Piezoelectric Effect,
Piezoluminescence,
Piezomagnetism,
Piezoresistive Effect,
Pin,
Pitot Tube,
Plasma,
Plasma Enhanced Chemical Vapour Deposition,
Plasma Spray,
Plasticity,
Plastometer,
Plateau-Rayleigh Instability,
Plenoptic Camera,
Pleochroism,
Pockels Effect,
Poisson's Effect,
Polarisation,
Polytetrafluoroethylene (PTFE),
Pool-Frenkel Effect,
Porosimetry,
Porosity,
Potential Well,
Precession,
Precipitation,
Precipitation Hardening,
Preservative,
Pressure Drop,
Pressure Gradient,
Pressure Increase,
Pressure Swing Adsorption,
Pressure-sensitive Paint,
Pressurisation,
Prism,
Pseudo Stirling Cycle,
Pseudoelasticity,
Pulley,
Pulse Jet,
Pulse Tube Refrigerator,
Pulsed Inductive Thruster,
Pulsed Laser Deposition,
Pulsed Magnet,
Pulser Pump,
Pump,
Purification,
Purkinje effect,
Pycnometer,
Pyroelectric Effect,
Pyrolysis,
Pyrophoricity,
Quadruplanar-Inversor,
Rack and Pinion,
Radar,
Radiation,
Radiation Pressure,
Radioactive Decay,
Radioactive Tracing,
Radioluminescence,
Railgun,
Rankine Cycle,
Ranque-Hilsch Effect,
Rarefaction,
Ratchet,
Rayleigh Scattering,
Rayleigh-Bénard Convection,
Rayleigh-Taylor Instability,
Reaction (physics),
Reaction Wheel,
Rectenna,
Redox Reactions,
Reduction,
Redundancy,
Reflection,
Refraction,
Refractory Material,
Regelation,
Relay,
Resonance,
Resonant-Macrosonic Synthesis,
Reticulated Foam,
Retroreflector,
Reuleaux Triangle,
Reverberation,
Reverse Brazil Nut Effect,
Reverse Diffusion,
Reverse Osmosis,
Rheometer,
Rheopecty,
Richtmyer-Meshkov Instability,
Rifling,
Righi-Leduc Effect,
Rigid Origami,
Rocket,
Roller,
Rollin Film,
Rotational Viscometer,
Rubber Band Thermodynamics,
Ruled Surface,
Sagnac Effect,
Salt Fingering,
Saltation (geology),
Scanning Probe Microscopy,
Scattering,
Scintillation,
Screw,
Second Harmonic Generation,
Second Sound,
Sedimentation,
Seebeck Effect,
Segmentation,
Segner Turbine,
Selective Laser Sintering,
Self-Assembly,
Semipermeable Membrane,
Senftleben-Beenakker Effect,
Settling,
Shadow,
Shadowgraph,
Shaking,
Shape Memory Alloy,
Shape Memory Polymer,
Shaped Charge,
Shear Stress,
Shear Thickening,
Shear Thinning,
Shock Hardening,
Shock Wave,
Shore Durometer,
Shot Peening,
Shunt,
Siemens Cycle,
Sintering,
Skin Effect,
Smoke,
SODAR,
Sol,
Solar Energy,
Soldering,
Solenoid,
Solid Solution Strengthening,
Soliton,
Solvation,
Sonar,
Sonic Anemometer,
Sonochemistry,
Sonoluminescence,
Sonomicrometry,
Sorption,
Sound,
Spanish Windlass,
Sparging,
Spark Plasma Sintering,
Spatial Filter,
Speed of Sound,
Sphericon,
Spheroid,
Spin Coating,
Spin-stabilized Magnetic Levitation,
Spirit Level,
Sponge,
Spray,
Spring,
Sputtering,
Static Friction,
